run_name,seed,dataset,model,beta,beta_schedule,aux_enabled,strategy,lookahead,sigma,detach_target,normalize_gradients,skip_last_aux_layers,max_epochs,train_subset,val_subset,test_subset,val_acc,val_total_loss,test_acc,test_total_loss,duration_seconds,best_checkpoint,log_dir,beta_mode,direct_hidden_target
stage1_strategy_output_seed1,1,mnist,mlp,0.4,,True,output,1,1.0,True,False,,6,1.0,1.0,1.0,0.9779999852180481,0.04947390779852867,0.9768999814987183,0.047363072633743286,100.93938088417053,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_output_seed1\best.ckpt,results\lightning_logs\stage1_strategy_output_seed1,,
stage1_strategy_uniform_seed0,0,mnist,mlp,0.4,,True,uniform,1,1.0,True,False,,6,1.0,1.0,1.0,0.9739999771118164,0.05560661479830742,0.9749000072479248,0.052875518798828125,94.5443696975708,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_uniform_seed0\best.ckpt,results\lightning_logs\stage1_strategy_uniform_seed0,,
stage1_strategy_uniform_seed1,1,mnist,mlp,0.4,,True,uniform,1,1.0,True,False,,6,1.0,1.0,1.0,0.977400004863739,0.05162540823221207,0.9772999882698059,0.04781482741236687,96.07448887825012,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_uniform_seed1\best.ckpt,results\lightning_logs\stage1_strategy_uniform_seed1,,
stage2_cifar100_beta0.0_seed0,0,cifar100,vit,0.0,,False,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.06840000301599503,4.158381462097168,0.06379999965429306,4.1756367683410645,52.645251750946045,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.0_seed0\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.0_seed0,,
stage2_cifar100_beta0.1_seed0,0,cifar100,vit,0.1,,True,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.06639999896287918,3.765878915786743,0.06480000168085098,3.7799816131591797,54.79842734336853,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.1_seed0\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.1_seed0,,
stage2_cifar100_beta0.1_seed1,1,cifar100,vit,0.1,,True,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.07360000163316727,3.7288036346435547,0.07199999690055847,3.745678186416626,55.86802434921265,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.1_seed1\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.1_seed1,,
stage2_cifar100_beta0.2_seed0,0,cifar100,vit,0.2,,True,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.06440000236034393,3.3659424781799316,0.06379999965429306,3.3807613849639893,55.17040491104126,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.2_seed0\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.2_seed0,,
stage2_cifar100_beta0.2_seed1,1,cifar100,vit,0.2,,True,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.07079999893903732,3.334573745727539,0.07100000232458115,3.345552444458008,55.01267862319946,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.2_seed1\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.2_seed1,,
stage2_cifar100_beta0.3_seed0,0,cifar100,vit,0.3,,True,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.06279999762773514,2.96736478805542,0.061400000005960464,2.982982635498047,55.017998456954956,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.3_seed0\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.3_seed0,,
stage2_cifar100_beta0.4_seed0,0,cifar100,vit,0.4,,True,gaussian,2,1.0,True,False,,4,0.1,1.0,1.0,0.0568000003695488,2.5673863887786865,0.059300001710653305,2.5816118717193604,54.567647218704224,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage2_cifar100_beta0.4_seed0\best.ckpt,results\lightning_logs\stage2_cifar100_beta0.4_seed0,,
